Course_Name,Topic_name,topic_Url
Accounting and Information Technology,Information Technology,http://dbpedia.org/resource/Information_technology
Accounting and Information Technology,accounting,http://dbpedia.org/resource/Accounting
Accounting and Information Technology,e-business,http://dbpedia.org/resource/Electronic_business
Accounting and Information Technology,computer,http://dbpedia.org/resource/Computer
Accounting and Information Technology,systems analysis,http://dbpedia.org/resource/Systems_analysis
Accounting Theory,financial reporting,http://dbpedia.org/resource/Financial_statement
Accounting Theory,accounting,http://dbpedia.org/resource/Accounting
Advanced Assurance Services,assurance services,http://dbpedia.org/resource/Assurance_services
Advanced Assurance Services,audit,http://dbpedia.org/resource/Audit
Advanced Management Accounting,Management Accounting,http://dbpedia.org/resource/Management_accounting
Advanced Taxation,estate planning,http://dbpedia.org/resource/Estate_planning
Analysis of Financial Statements,financial statements,http://dbpedia.org/resource/Financial_statement
Cost and Management Accounting,Management Accounting,http://dbpedia.org/resource/Management_accounting
Cost and Management Accounting,accounting,http://dbpedia.org/resource/Accounting
Cost and Management Accounting,variance,http://dbpedia.org/resource/Variance
Cost and Management Accounting,transfer pricing,http://dbpedia.org/resource/Transfer_pricing
Financial and Managerial Accounting,ACCO,"http://dbpedia.org/resource/Acre,_Israel"
Financial and Managerial Accounting,accounting,http://dbpedia.org/resource/Accounting
Financial and Managerial Accounting,equity,http://dbpedia.org/resource/Stock
Financial and Managerial Accounting,pension,http://dbpedia.org/resource/Pension
Financial Reporting I,financial reporting,http://dbpedia.org/resource/Financial_statement
Financial Reporting II,accounting,http://dbpedia.org/resource/Accounting
Financial Reporting III,accounting,http://dbpedia.org/resource/Accounting
Financial Reporting III,financial statements,http://dbpedia.org/resource/Financial_statement
Financial Reporting III,currency,http://dbpedia.org/resource/Currency
Financial Reporting IV,accounting,http://dbpedia.org/resource/Accounting
Financial Reporting IV,financial reporting,http://dbpedia.org/resource/Financial_statement
Fraud Prevention and Investigation,Accountancy,http://dbpedia.org/resource/Accounting
Fraud Prevention and Investigation,poster session,http://dbpedia.org/resource/Poster_session
Honours Seminar in Accountancy,Accountancy,http://dbpedia.org/resource/Accounting
Honours Seminar in Accountancy,poster session,http://dbpedia.org/resource/Poster_session
Income Taxation in Canada,Canada,http://dbpedia.org/resource/Canada
Income Taxation in Canada,federal income tax,http://dbpedia.org/resource/Income_tax_in_the_United_States
Income Taxation in Canada,Canadian,http://dbpedia.org/resource/Canada
Income Taxation in Canada,property income,http://dbpedia.org/resource/Property_income
Income Taxation in Canada,capital gains,http://dbpedia.org/resource/Capital_gain
Introduction to Financial Accounting,accounting,http://dbpedia.org/resource/Accounting
Introduction to Financial Accounting,financial statements,http://dbpedia.org/resource/Financial_statement
Introduction to Managerial Accounting,accounting,http://dbpedia.org/resource/Accounting
Principles of Auditing,corporate governance,http://dbpedia.org/resource/Corporate_governance
Strategic Accounting Case Analysis,accounting,http://dbpedia.org/resource/Accounting
Strategic Accounting Case Analysis,enterprise resource planning (ERP),http://dbpedia.org/resource/Enterprise_resource_planning
U.S. Federal Taxation,tax planning,http://dbpedia.org/resource/Tax_avoidance
Advanced Acting Studio,Studio Building,http://dbpedia.org/resource/Studio_Building_(Toronto)
