course_name,course_subject,course_number,course_desc,course_link
Topics in Computer Science I,COMP,691," Subject matter will vary from term to term and from year to year. Students may re-register for this course, providing that course content has changed. Changes in content will be indicated by the letter following the course number, e.g., COMP 691A, COMP 691B, etc.",http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
Topics in Computer Science II,COMP,791," Subject matter will vary from term to term and from year to year. Students may re-register for this course, providing that course content has changed. Changes in content will be indicated by the letter following the course number, e.g. COMP 791A, COMP 791B, etc.",http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
Distributed System Design,COMP,6231," Principles of distributed computing: scalability, transparency, concurrency, consistency, fault tolerance. Client-server interaction technologies: interprocess communication, sockets, group communication, remote procedure call, remote method invocation, object request broker, CORBA, web services. Distributed server design techniques: process replication, fault tolerance through passive replication, high availability through active replication, coordination and agreement transactions and concurrency control. Designing software fault-tolerant highly available distributed systems using process replication. Laboratory: two hours per week.",http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
Parallel Programming (*),COMP,6281," Migration from Von Neumann to parallel processing architectures: shared-memory and message-passing paradigms; massively parallel computers; recent trends in commodity parallel processing; clusters, multi-core, CPU-GPU based heterogeneous computing. Issues of memory consistency and load balancing. Parallel algorithms for shared-memory and message passing platforms; efficiency and scalability; issues of performance overhead. Parallel programming environments: parallel programming models; languages; software tools. Laboratory: two hours per week. A project is required.",http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
Parallel Algorithms and Architectures,COMP,7241,"Prerequisite: COMP 6281 or permission of instructor. Parallel architectures; memory organization, interconnection structures, data routing techniques. Parallel algorithms; paradigms and design techniques, complexity analysis, algorithms for various computation models. A project is required.",http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
Mobile Computing and Wireless Networks,COMP,7251,"Prerequisite: COMP 6461. Introduction to mobile computing and wireless networks:local (LAN), personal (PAN) and metropolitan (MAN). Mobile ad hoc networks and sensor networks. Algorithms and protocols for medium access, routing, topology control, and reliable transport. A project is required.",http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
Animation for Computer Games (*),COMP,6311,"Prerequisite:COMP 6761 or equivalent, previously or concurrently. Introduction to the algorithms, data structures, and techniques used in modelling and rendering dynamic scenes. Topics include principles of traditional animation, production pipeline, animation hardware and software, orientation representation and interpolation, modelling physical and articulated objects, forward and inverse kinematics, motion control and capture, key-frame, procedural, and behavioural animation, camera animation, scripting system, and free-form deformation. A project is required. Laboratory: two hours per week.",http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
Machine Learning,COMP,6321," Introduction to the fundamentals of machine learning. Linear models: linear and polynomial regression, overfitting, model selection, logistic regression, naive Bayes. Non-linear models: decision trees, instance-based learning, boosting, neural networks. Support vector machines and kernels. Computational learning theory. Experimental methodology, sources of error. Structured models: graphical models, deep belief networks. Unsupervised learning: k-means, mixture models, density estimation, expectation maximization, principle component analysis, eigenmaps and other dimensionality reduction methods. Learning in dynamical systems: hidden Markov models and other types of temporal/sequence models. Reinforcement learning. Survey of machine learning and its applications. A project is required.Laboratory: two hours per week.",http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
Advanced Game Development (*),COMP,6331,"Prerequisite: Permission of instructor. Introduction to advanced aspects of computer games. Game engine design. Artificial Intelligence (AI): nonplayer character movement, coordinated movement, pathfinding, world representations; decision making; tactical AI, strategic AI, learning in games. Physicsbased techniques: collision detection and response. Networked gaming: multiplayer games, networking and distributed game design, mobile gaming. Improving realism: cut scenes, 3D sound. A project is required. Laboratory: two hours per week.",http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
Computer Vision (*),COMP,6341," This course introduces basic techniques and concepts in computer vision includingimage formation, grouping and fitting, geometric vision, recognition, perceptualorganization, and the state-of-the art software tools. Students learn fundamentalalgorithms and techniques, and gain experience in programming vision-basedcomponents; in particular, how to program in OpenCV, a powerful software interfaceused to process data captured from passive and active sensors. A project is required.Laboratory: two hours per week.Note: Students who have received credit for COMP 691 (Computer Vision) may nottake this course for credit.",http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
Digital Geometric Modelling,COMP,6381," This course introduces the digital geometry modelling pipeline focusing on fundamental data structures and algorithms for digital representation and processing of 3D geometry. Students study a wide range of applications and solutions in computer-aided design, engineering, architecture reverse engineering, and medical applications. As triangle meshes are by far the most popular representation for 3D geometry, this course focuses on triangle mesh representations and data structures that enable the programmer to efficiently query and edit geometry. In addition, the course covers spline modelling: Hermite splines, Bezier splines, and B-Splines. A project is required.",http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
Computational Geometry,COMP,6711," Efficient algorithms and data structures to solve geometric problems. Problems discussed include convex hulls, line intersections, polygon triangulation, point location, range searching, Voronoi diagrams, Delaunay triangulations, interval trees and segment trees, arrangements, robot motion planning, binary space partitions, quadtrees, and visitility. Algorithmic methods include plane sweep, incremental insertion, randomization, divide and conquer. Emphasis will be given to computation and complexity, with applications in computer graphics, computer aided design, geographic information systems, networks, mesh generation, databases, and robot motion planning. A project is required.",http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
Pattern Recognition (*),COMP,6731, Pre-processing. Feature extraction and selection. Similarity between patterns and distance measurements. Syntactic and statistical approaches. Clustering analysis. Bayesian decision theory and discriminant functions. Clustering and classification techniques. Applications. A project is required. Laboratory: two hours per week.,http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
Advanced 3D Graphics for Game Programming,COMP,6761," Fundamental algorithms, techniques, and software engineering principles for 3D graphics. Introduction to real-time graphics application architecture; review of basic 3D concepts of modelling, viewing, and rendering. 3D graphics functions, pipeline, and performance. Hierarchical 3D graphics. Algorithms for occlusion culling, collision detection, photorealism, shadows, and textures. Current trends and state-of-the-art graphics and physics algorithms. Laboratory: Two hours per week.",http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
Image Processing (*),COMP,6771," Digital image fundamentals; image enhancement: histogram processing, filtering in the spatial domain, filtering in the frequency domain; image restoration and reconstruction; image segmentation: line detection, Hough transform, edge detection and linking, thresholding, region splitting and merging; image compression; introduction to wavelet transform and multi-resolution processing. A project is required. Laboratory: two hours per week.",http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
Advanced Rendering and Animation,COMP,7661,"Prerequisite: COMP 6761. Advanced concepts in rendering and animation with emphasis on computational techniques for synthesizing complex realistic images, both static and dynamic. Topics include: overview of computer graphics techniques in games, cinema, and engineering; realistic rendering methods in real time; animation techniques including physics-based animation. A project is required.",http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
Advanced Pattern Recognition,COMP,7751,"Prerequisite: COMP 6731. Pattern recognition principles; modern methods in digitization and data acquisition; advanced topics in feature extraction and selection; principal component analysis and clustering techniques; multiple classifiers and expert systems; advanced topics in neural networks in pattern recognition, performance evaluation and error reduction. Applications. A project is required.",http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
Advanced Image Processing,COMP,7781,"Prerequisite: COMP 6771 or permission of instructor. Digital image processing; segmentation morphological processing; wavelet transforms and multi-resolution analysis; partial differential equation approach; variational methods; diffusion and shock filters; Markov random field and Bayesian inference; energy minimization framework: snakes, active contours, Mumford-Shah model, level set method; numerical implementation; applications; image inpainting; registration; and document processing. A project is required.",http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
Comparative Study of Programming Languages,COMP,6411,"Comparison of several high-level programming languages with respect to application areas, design, efficiency, and ease of use. The selected languages will demonstrate programming paradigms such as functional, logical, and scripting. Static and dynamic typing. Compilation and interpretation. Advanced implementation techniques. A project is required.",http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
Compiler Design (*),COMP,6421," Compiler organization and implementation: lexical analysis and parsing, syntax-directed translation, code optimization. Run-time systems. A project is required.",http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
Computer Networks and Protocols,COMP,6461," Direct link networks: encoding, framing, error detection, flow control, example networks. Packet switching and forwarding: bridges, switches. Internetworking: Internet Protocol, routing, addressing, IPv6, multicasting, mobile IP. End-to-end protocols: UDP, TCP. Network security concepts. Application-level protocols. Laboratory: two hours per week.",http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
Semantics of Programming Languages,COMP,7451,"Prerequisite: COMP 6411. The need for semantic descriptions of programming languages. Classification of semantics: operational, axiomatic, model-theoretic, algebraic, denotational. Classification of languages: procedural, functional, logic, equational. Applications: verification, construction, language design, temporal logic for distributed systems, semantics for advanced languages.",http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
Advanced Database Technology and Applications,COMP,6521," Review of standard relational databases, query languages. Query processing and optimization. Parallel and distributed databases. Information integration. Data warehouse systems. Data mining and OLAP. Web databases and XML Active and logical databases, spatial and multimedia data management. Laboratory: Two hours per week.",http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
Introduction to Knowledge-Base Systems,COMP,6591," Review of first-order logic, relational algebra, and relational calculus. Fundamentals of logic programming. Logic for knowledge representation. Architecture of a knowledge-base system. Fundamentals of deductive databases. Top-down and bottom-up query processing. Some important query processing strategies and their comparison. Project or term paper on current research topics.",http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
Bioinformatics Algorithms,COMP,6811," The principal objectives of the course are to cover the major algorithms used in bioinformatics; sequence alignment, multiple sequence alignment, phylogeny; classifying patterns in sequences; secondary structure prediction; 3D structure prediction; analysis of gene expression data. This includes dynamic programming, machine learning, simulated annealing, and clustering algorithms. Algorithmic principles will be emphasized. A project is required.",http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
Bioinformatics Databases and Systems,COMP,6821," The principal objectives of the course are to survey the needs of bioinformatics for data management, knowledge management, and computational support; to provide in-depth description of an example of each kind of database and system; and to introduce advanced database technology and software technology relevant to the needs of bioinformatics. A project is required.",http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
Database Systems Principles,COMP,7531,"Prerequisite: COMP 6521. Database models. Algebraic, logical, and deductive database languages. Query equivalence and optimization. Query rewriting, information integration and data exchange. Incomplete information and complex values. Introduction to current research topics. A project is required.",http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
Topics in Scientific Computation,COMP,6351," Selected elements of numerical methods that are central to scientific computation. The precise contents of the course may differ somewhat from one offering to the next, but will include the following topics: An introduction to the numerical solution of nonlinear equations, continuation methods, numerical solution of initial value problems in ordinary differential equations, finite difference method, numerical stability theory, stiff equations, boundary value problems in ordinary differential equations, collocation methods, introduction to the numerical solution of partial differential equations, with emphasis on nonlinear diffusion problems. A project is required.",http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
