course_name,course_subject,course_number,course_desc,course_link
Accounting and Information Technology,ACCO,350,"This course examines the role of computerized accounting information systems (AIS) in organizations. Students learn how to justify, design, and utilize AIS to provide pertinent information to managers for decision making. The course helps to identify appropriate usage of information technology in specific accounting contexts. Topics include e-business, computer fraud, information systems security and controls, systems analysis, and management of information technology.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
Accounting Theory,ACCO,400,"This course examines the theoretical foundations of the contemporary approach to financial reporting, and the political and pragmatic considerations in the development of the conceptual framework underlying current accounting standards. Alternative theories of accounting are discussed and controversial areas are emphasized.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
Advanced Assurance Services,ACCO,465,"This course covers important topics and concepts in auditing and assurance services. It builds on audit principles covered in previous courses and introduces specialized and advanced topics that are of particular importance to professional accountants. In covering topics and their application, the course focuses on decision-making processes followed by auditors.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
Advanced Management Accounting,ACCO,430,No Desciption,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
Advanced Taxation,ACCO,440,"This course provides core knowledge regarding the federal taxation of corporations, partnerships, and trusts. It introduces analytical skills needed to make decisions regarding various business transfers, combinations, incorporation and estate planning issues for corporations and shareholders.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
Analysis of Financial Statements,ACCO,355,This course explores the usefulness and limitations of financial statements for investment and credit decisions. It focuses on the interpretation of the information contained in financial statements which reflect the economic characteristics of the firm and its strategic business decisions. Instruments and techniques for financial state­ment analysis are discussed and applied to case studies and actual companies.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
Cost and Management Accounting,ACCO,330," This course provides an examination of the techniques, systems, and procedures applicable to the managerial use of accounting information for planning, decision-making, and control. Topics include cost accu­mulation and allocation, product and process costing, flexible budgeting and variance analysis, evaluation of managerial performance, and transfer pricing.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
Financial and Managerial Accounting,ACCO,220," This course continues the intensive study of ACCO 310, with partic­ular emphasis on accounting for liabilities, share­holders’ equity, and other related topics such as earnings per share, pension accounting, and accounting for income taxes.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
Financial Reporting I,ACCO,310,"COMM 305 previously or concurrently. Intensive study is made of the theory and practice of external financial reporting by business organizations, focusing on concepts and procedures underlying the measurement of assets and the determination of income.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
Financial Reporting II,ACCO,320,"This course provides an introduction to account­ing principles underlying the preparation of financial reports with an emphasis on the relationship between accounting information and production decisions. It examines the relationship between costs, production volume, and profit, as well as the practical benefits of standard costs for plan­ning and control purposes. The role of accounting infor­mation in various manufacturing decisions is also highlighted.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
Financial Reporting III,ACCO,420," This course examines the theory and practice of accounting for inter­corporate investments, business combinations, consolidation of financial statements, and foreign currency trans­actions and operations.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
Financial Reporting IV,ACCO,425,"This course addresses special topics in accounting including financial reporting for not-for-profit organizations and government entities. Governance, social responsibility concepts, and accountability frameworks are illustrated by comparing the practices of selected organizations with authoritative standards.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
Fraud Prevention and Investigation,ACCO,455,"This seminar is offered to students in the Honours in Accountancy program over the course of two terms. In the first term, the seminar surveys accounting history, research methodology and recent research in topics covered in the Accountancy curriculum. In addition, students begin working on a research or case project to be conducted under the supervision of a faculty member. In the second term, students complete their project for submission by the end of the term. Presentation of the project at a poster session or department seminar is also required.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
Honours Seminar in Accountancy,ACCO,495,"This seminar is offered to students in the Honours in Accountancy program over the course of two terms. In the first term, the seminar surveys accounting history, research methodology and recent research in topics covered in the Accountancy curriculum. In addition, students begin working on a research or case project to be conducted under the supervision of a faculty member. In the second term, students complete their project for submission by the end of the term. Presentation of the project at a poster session or department seminar is also required.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
Income Taxation in Canada,ACCO,340,"This course provides core knowledge regarding the federal income tax structure and the Canadian goods and services tax system. It examines the taxation of employment, business, property income, capital gains and other sources of income for an individual.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
Introduction to Financial Accounting,ACCO,230,"This course provides an introduction to accounting concepts underlying financial statements of organizations. It focuses on the analysis, mea­surement, and reporting of business transactions to users of financial statements. It also examines the uses and limitations of accounting information for investment and credit decisions.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
Introduction to Managerial Accounting,ACCO,240,"This course examines the role of accounting information for decision making, and focuses on concepts and techniques used in planning operations, controlling activities, and evaluating managerial performance. New developments are addressed with a focus on contemporary business issues and real-world applicability of management accounting concepts and techniques.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
